SubjectID	Predicate	ObjectID	CombinedString
http://schema.org/CreativeWork	http://schema.org/file	owl:Thing	CreativeWork; file; Thing
http://schema.org/CreativeWork	http://schema.org/imageurl	owl:Thing	CreativeWork; imageurl; Thing
http://schema.org/CreativeWork	http://schema.org/inlanguage	owl:Thing	CreativeWork; inlanguage; Thing
http://schema.org/CreativeWork	http://schema.org/ispartof	http://schema.org/Organization	CreativeWork; ispartof; Organization
http://schema.org/CreativeWork	http://schema.org/isbasedon	owl:Thing	CreativeWork; isbasedon; Thing
http://schema.org/CreativeWork	http://schema.org/datepublished	owl:Thing	CreativeWork; datepublished; Thing
http://schema.org/Organization	http://schema.org/blockchainecosystem	owl:Thing	Organization; blockchainecosystem; Thing
http://schema.org/Organization	http://schema.org/logo	http://schema.org/owl:Thing	Organization; logo; owl:Thing
http://schema.org/InvestmentOrGrant	http://schema.org/date	owl:Thing	InvestmentOrGrant; date; Thing
http://schema.org/InvestmentOrGrant	http://schema.org/fundinground	owl:Thing	InvestmentOrGrant; fundinground; Thing
http://schema.org/InvestmentOrGrant	http://schema.org/investee	http://schema.org/Organization	InvestmentOrGrant; investee; Organization
http://schema.org/InvestmentOrGrant	http://schema.org/investor	http://schema.org/Person	InvestmentOrGrant; investor; Person
http://schema.org/InvestmentOrGrant	http://schema.org/amount	owl:Thing	InvestmentOrGrant; amount; Thing
